TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2025,1,7,17,0,6XX W 45TH AVE,Oakridge,491371.9994,5453014.2054
Break and Enter Residential/Other,2025,1,6,19,47,70XX CYPRESS ST,Kerrisdale,489107.6814,5452087.8405
Break and Enter Residential/Other,2025,1,19,11,30,75XX OAK ST,Marpole,490568.5916,5451563.5224
Break and Enter Residential/Other,2025,1,10,15,50,7XX DRAKE ST,Central Business District,490686.2235,5458170.7102
Break and Enter Residential/Other,2025,1,25,3,36,7XX THURLOW ST,West End,490937.9534,5459112.7056
Break and Enter Residential/Other,2025,1,3,7,0,7XX W 69TH AVE,Marpole,491043.5013,5450732.278
Break and Enter Residential/Other,2025,1,14,16,33,8XX E 10TH AVE,Mount Pleasant,493689.5962,5456524.5935
Break and Enter Residential/Other,2025,1,1,10,1,8XX RICHARDS ST,Central Business District,491350.6916,5458531.3678
Break and Enter Residential/Other,2025,1,1,21,35,9XX EXPO BLVD,Central Business District,491614.3733,5458083.2754
Break and Enter Residential/Other,2025,1,5,4,6,E CORDOVA ST / MAIN ST,Strathcona,492754.0167,5458842.0558
Mischief,2025,1,23,20,12,10XX BURNABY ST,West End,490517.1846,5458421.7056
Mischief,2025,1,20,20,1,10XX CAMBIE ST,Central Business District,491407.3592,5458130.6092
Mischief,2025,1,22,2,4,10XX CAMBIE ST,Central Business District,491411.8178,5458139.2099
Mischief,2025,1,19,20,0,10XX DENMAN ST,West End,489842.0669,5459563.5454
Mischief,2025,1,1,1,0,10XX DENMAN ST,West End,489875.6152,5459584.0561
Mischief,2025,1,2,19,20,10XX GRANVILLE ST,Central Business District,491033.3179,5458495.4627
Mischief,2025,1,1,16,11,10XX HAMILTON ST,Central Business District,491228.7164,5458165.9512
Mischief,2025,1,24,17,0,10XX HORNBY ST,Central Business District,490907.2702,5458640.7425
Mischief,2025,1,10,11,37,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Mischief,2025,1,6,17,4,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.2867
Mischief,2025,1,23,17,5,10XX PACIFIC BLVD,Central Business District,491623.9659,5457934.102
Mischief,2025,1,7,5,53,10XX RICHARDS ST,Central Business District,491180.0977,5458345.9226
Mischief,2025,1,10,11,1,10XX ROBSON ST,West End,491055.5021,5458961.6935
Mischief,2025,1,6,21,20,10XX SEYMOUR ST,Central Business District,491044.9783,5458358.9775
Mischief,2025,1,18,14,38,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Mischief,2025,1,23,20,0,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Mischief,2025,1,9,11,47,10XX W 41ST AVE,Shaughnessy,490584.9335,5453485.905
Mischief,2025,1,11,13,0,10XX W CORDOVA ST,Central Business District,491419.7671,5459498.1213
Mischief,2025,1,4,20,22,10XX W WATERFRONT RD,Central Business District,491440.0383,5459565.7683
Mischief,2025,1,2,10,11,11XX ALBERNI ST,West End,490894.9534,5459283.8872
Mischief,2025,1,7,21,50,11XX BURNABY ST,West End,490373.7527,5458554.584
Mischief,2025,1,23,8,29,11XX COMMERCIAL DR,Grandview-Woodland,494935.803,5457925.3471
Mischief,2025,1,18,13,32,11XX E 12TH AVE,Mount Pleasant,494102.7742,5456330.1816
Mischief,2025,1,19,17,26,11XX E 53RD AVE,Sunset,493996.5662,5452119.0648
Mischief,2025,1,10,8,30,11XX E HASTINGS ST,Strathcona,494141.1158,5458690.1394
Mischief,2025,1,18,19,9,11XX GRANVILLE ST,Central Business District,490852.4071,5458298.9215
Mischief,2025,1,15,22,42,11XX GRANVILLE ST,Central Business District,490934.3357,5458381.2846
Mischief,2025,1,5,10,15,11XX HOMER ST,Central Business District,491104.8139,5458126.4139
Mischief,2025,1,10,14,0,11XX KEEFER ST,Strathcona,494132.9747,5458483.875
Mischief,2025,1,5,17,45,11XX ROBSON ST,West End,490870.9796,5459157.4511
Mischief,2025,1,15,21,0,11XX W 11TH AVE,Fairview,490574.9901,5456537.2392
Mischief,2025,1,2,6,38,12XX BURRARD ST,West End,490592.6425,5458483.373
Mischief,2025,1,7,18,0,12XX DAVIE ST,West End,490292.5164,5458794.4976
Mischief,2025,1,12,9,38,12XX E HASTINGS ST,Strathcona,494265.1864,5458714.0892
Mischief,2025,1,11,21,52,12XX GARDEN DR,Grandview-Woodland,495779.2304,5457815.4651
Mischief,2025,1,12,0,10,12XX GARDEN DR,Grandview-Woodland,495779.2304,5457815.4651
Mischief,2025,1,25,3,7,12XX GRANVILLE ST,Central Business District,490720.1022,5458163.8044
Mischief,2025,1,6,0,23,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Mischief,2025,1,22,13,49,12XX W PENDER ST,Central Business District,491017.678,5459519.6238
Mischief,2025,1,4,1,0,13XX BARCLAY ST,West End,490447.6802,5459259.5019
Mischief,2025,1,7,8,55,13XX E 64TH AVE,Sunset,494188.5676,5451018.2031
Mischief,2025,1,9,1,0,13XX MCLEAN DR,Grandview-Woodland,494586.925,5457813.5591
Mischief,2025,1,11,5,40,13XX W 37TH AVE,Shaughnessy,490045.2307,5453914.3168
Mischief,2025,1,2,6,47,13XX W KING EDWARD AVE,Shaughnessy,490068.7836,5455169.4867
Mischief,2025,1,11,13,0,13XX WILLIAM ST,Grandview-Woodland,494389.7748,5457918.2608
Mischief,2025,1,29,12,0,14XX DAVIE ST,West End,490079.7033,5459005.2512
Mischief,2025,1,30,13,10,14XX E HASTINGS ST,Grandview-Woodland,494561.0742,5458727.4506
Mischief,2025,1,17,20,51,14XX GRANT ST,Grandview-Woodland,494561.2757,5457631.7955
Mischief,2025,1,7,20,0,14XX WOODLAND DR,Grandview-Woodland,494660.6406,5457710.5458
Mischief,2025,1,2,20,30,15XX E 8TH AVE,Grandview-Woodland,494651.4344,5456722.975
Mischief,2025,1,15,1,13,15XX E HASTINGS ST,Grandview-Woodland,494703.9379,5458724.7389
Mischief,2025,1,13,13,18,15XX FRANCES ST,Grandview-Woodland,494698.5347,5458524.5362
Mischief,2025,1,16,12,6,15XX VERNON DR,Strathcona,494276.6448,5457555.2225
Mischief,2025,1,4,8,30,15XX W 71ST AVE,Marpole,489717.2879,5450481.1675
Mischief,2025,1,14,19,30,15XX W 71ST AVE,Marpole,489717.2879,5450481.1675
Mischief,2025,1,7,0,6,16XX BAYSHORE DR,Central Business District,490590.28,5459861.5367
Mischief,2025,1,12,23,30,16XX BAYSHORE DR,Central Business District,490596.6783,5459868.0693
Mischief,2025,1,15,11,21,16XX DAVIE ST,West End,489834.5511,5459246.8882
Mischief,2025,1,1,17,25,16XX DAVIE ST,West End,489849.7329,5459244.6534
Mischief,2025,1,22,8,24,16XX W 4TH AVE,Fairview,489668.8673,5457247.6606
Mischief,2025,1,27,8,24,16XX W 4TH AVE,Fairview,489668.8673,5457247.6606
Mischief,2025,1,5,3,31,17XX ALBERNI ST,West End,490240.9181,5459927.1022
Mischief,2025,1,19,11,0,17XX BAYSHORE DR,Central Business District,490426.1386,5459936.5675
Mischief,2025,1,9,20,0,17XX CHARLES ST,Grandview-Woodland,494948.5615,5457817.0477
Mischief,2025,1,23,0,0,17XX E HASTINGS ST,Grandview-Woodland,494993.3153,5458718.66
Mischief,2025,1,7,22,0,17XX E PENDER ST,Grandview-Woodland,494973.9326,5458619.7486
Mischief,2025,1,2,22,0,17XX W GEORGIA ST,West End,490384.3546,5459883.8643
Mischief,2025,1,19,20,30,18XX COMMERCIAL DR,Grandview-Woodland,494926.4389,5457254.3173
Mischief,2025,1,3,15,0,18XX NOOTKA ST,Hastings-Sunrise,496986.2214,5457300.7974
Mischief,2025,1,1,21,40,18XX RENFREW ST,Hastings-Sunrise,496786.4579,5457298.3566
Mischief,2025,1,6,19,30,19XX COMMERCIAL DR,Grandview-Woodland,494935.3043,5457216.8735
Mischief,2025,1,7,1,3,19XX COMMERCIAL DR,Grandview-Woodland,494935.3043,5457216.8735
Mischief,2025,1,1,5,50,19XX OGDEN AVE,Kitsilano,489250.5919,5458247.8339
Mischief,2025,1,5,17,0,19XX VERNON DR,Strathcona,494283.1257,5457155.5491
Mischief,2025,1,7,17,0,19XX VERNON DR,Strathcona,494283.1257,5457155.5491
Mischief,2025,1,20,10,48,19XX WALLACE ST,West Point Grey,486126.3004,5457363.1609
Mischief,2025,1,7,3,55,1XX AQUARIUS MEWS,Central Business District,491339.1621,5457905.9702
Mischief,2025,1,21,11,59,1XX CAMBIE ST,Central Business District,492099.6495,5459098.9916
Mischief,2025,1,8,9,57,1XX E 3RD AVE,Mount Pleasant,492646.9926,5457283.9766
Mischief,2025,1,11,4,47,1XX E HASTINGS ST,Central Business District,492708.1305,5458743.3452
Mischief,2025,1,9,14,11,1XX JACKSON AVE,Strathcona,493218.7074,5459025.2009
Mischief,2025,1,11,9,32,1XX MILROSS AVE,Central Business District,492609.4324,5458146.5401
Mischief,2025,1,13,10,2,1XX MILROSS AVE,Central Business District,492707.3757,5458143.2828
Mischief,2025,1,16,14,10,1XX PEVERIL AVE,Riley Park,492129.5464,5454888.0757
Mischief,2025,1,1,1,8,1XX TALISMAN AVE,Riley Park,492013.2024,5454875.9793
Mischief,2025,1,17,18,0,1XX UNION ST,Central Business District,492626.622,5458332.4619
Mischief,2025,1,27,5,30,1XX W 7TH AVE,Mount Pleasant,492181.8806,5456893.5658
Mischief,2025,1,28,9,15,1XX W CORDOVA ST,Central Business District,492185.6625,5458931.117
Mischief,2025,1,24,7,25,1XX W CORDOVA ST,Central Business District,492226.5253,5458910.8227
Mischief,2025,1,16,13,6,1XX W HASTINGS ST,Central Business District,492179.6969,5458822.9488
Mischief,2025,1,24,11,24,1XX W HASTINGS ST,Central Business District,492183.0043,5458821.9543
Mischief,2025,1,4,21,13,1XX WATER ST,Central Business District,492203.2678,5459031.6462
Mischief,2025,1,10,0,6,1XX WATER ST,Central Business District,492203.2678,5459031.6462
Mischief,2025,1,19,16,39,1XX WATER ST,Central Business District,492204.6478,5459031.2779
Mischief,2025,1,15,12,1,20XX E 28TH AVE,Kensington-Cedar Cottage,495387.9696,5454787.7491
Mischief,2025,1,22,1,40,20XX E 37TH AVE,Kensington-Cedar Cottage,495274.817,5453799.48
Mischief,2025,1,24,17,0,20XX E 49TH AVE,Victoria-Fraserview,495223.8574,5452484.4987
Mischief,2025,1,14,0,1,20XX GLEN DR,Strathcona,494100.6165,5457166.2288
Mischief,2025,1,20,15,20,20XX WALL ST,Grandview-Woodland,495374.3239,5459125.8932
Mischief,2025,1,5,14,14,21XX ASH ST,Fairview,491463.3029,5457054.97
Mischief,2025,1,21,4,6,21XX E 13TH AVE,Kensington-Cedar Cottage,495487.2678,5456202.1995
Mischief,2025,1,12,14,23,21XX E HASTINGS ST,Grandview-Woodland,495579.3869,5458719.7427
Mischief,2025,1,15,15,25,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495483.231,5454541.3693
Mischief,2025,1,3,15,17,21XX W 7TH AVE,Kitsilano,488724.4362,5456990.5562
Mischief,2025,1,17,21,30,22XX BALACLAVA ST,Kitsilano,487353.1058,5457118.381
Mischief,2025,1,9,13,40,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495536.1574,5454515.0143
Mischief,2025,1,2,16,0,23XX BOUNDARY RD,Renfrew-Collingwood,498269.4715,5456829.2068
Mischief,2025,1,5,8,51,23XX E HASTINGS ST,Grandview-Woodland,495845.0,5458718.9789
Mischief,2025,1,11,20,4,23XX KINGSWAY AVE,Renfrew-Collingwood,495768.1547,5454340.812
Mischief,2025,1,19,18,30,23XX TRINITY ST,Grandview-Woodland,495823.8786,5459616.0104
Mischief,2025,1,16,18,20,24XX KINGSWAY AVE,Renfrew-Collingwood,496005.2632,5454187.0342
Mischief,2025,1,1,14,55,24XX RENFREW ST,Hastings-Sunrise,496770.3653,5456662.1645
Mischief,2025,1,4,20,30,25XX SPRUCE ST,Fairview,490618.7742,5456748.4822
Mischief,2025,1,4,17,0,25XX W 33RD AVE,Arbutus Ridge,488166.6196,5454394.667
Mischief,2025,1,21,18,11,26XX E 4TH AVE,Hastings-Sunrise,496342.0652,5457106.853
Mischief,2025,1,11,18,56,26XX E 5TH AVE,Hastings-Sunrise,496378.4613,5456999.7349
Mischief,2025,1,27,16,13,26XX TRINITY ST,Hastings-Sunrise,496226.663,5459658.5823
Mischief,2025,1,19,15,0,27XX E KENT AVE N,Killarney,496205.9137,5450373.8779
Mischief,2025,1,3,23,39,27XX NAPIER ST,Hastings-Sunrise,496416.8107,5458020.3981
Mischief,2025,1,24,3,19,27XX PRINCE EDWARD ST,Mount Pleasant,493007.2142,5456436.9842
Mischief,2025,1,3,18,0,29XX FIR ST,Fairview,489721.0046,5456287.8856
Mischief,2025,1,1,0,30,29XX MAIN ST,Mount Pleasant,492637.9972,5456256.4203
Mischief,2025,1,15,18,10,2X W HASTINGS ST,Central Business District,492367.1438,5458760.0134
Mischief,2025,1,3,19,14,2XX BURRARD ST,Central Business District,491602.6577,5459485.0197
Mischief,2025,1,26,9,24,2XX BURRARD ST,Central Business District,491602.6577,5459485.0197
Mischief,2025,1,29,17,44,2XX BURRARD ST,Central Business District,491602.6577,5459485.0197
Mischief,2025,1,9,18,18,2XX BURRARD ST,Central Business District,491603.6933,5459486.0136
Mischief,2025,1,19,16,44,2XX BURRARD ST,Central Business District,491603.6933,5459486.0136
Mischief,2025,1,22,0,30,2XX CARRALL ST,Central Business District,492424.7146,5458971.1783
Mischief,2025,1,23,19,50,2XX COLUMBIA ST,Central Business District,492572.8915,5458943.0312
Mischief,2025,1,11,8,30,2XX DUNLEVY AVE,Strathcona,493061.6671,5458907.6233
Mischief,2025,1,20,8,50,2XX E 17TH AVE,Riley Park,492742.3606,5455877.7632
Mischief,2025,1,23,21,0,2XX E 17TH AVE,Riley Park,492742.3606,5455877.7632
Mischief,2025,1,23,23,32,2XX E CORDOVA ST,Strathcona,492848.7014,5458843.8934
Mischief,2025,1,5,20,0,2XX GRANVILLE ST,Central Business District,491833.5672,5459286.8751
Mischief,2025,1,17,9,45,2XX HOWE ST,Central Business District,491753.5426,5459360.8787
Mischief,2025,1,7,0,57,2XX W 6TH AVE,Mount Pleasant,492033.2481,5456988.3378
Mischief,2025,1,7,9,43,2XX W 7TH AVE,Mount Pleasant,492030.6868,5456889.2017
Mischief,2025,1,22,20,58,30XX E 29TH AVE,Renfrew-Collingwood,497049.0212,5454646.237
Mischief,2025,1,23,13,15,31XX MAIN ST,Mount Pleasant,492630.585,5456046.6681
Mischief,2025,1,16,22,0,31XX W 48TH AVE,Kerrisdale,487206.0566,5452866.8294
Mischief,2025,1,6,6,30,31XX W BROADWAY AVE,Kitsilano,487334.0967,5456833.5813
Mischief,2025,1,30,11,48,34XX ASCOT PL,Renfrew-Collingwood,497668.3163,5454029.8905
Mischief,2025,1,20,15,58,34XX E 49TH AVE,Killarney,497816.2394,5452389.4582
Mischief,2025,1,3,19,0,34XX W 40TH AVE,Dunbar-Southlands,486813.6041,5453677.341
Mischief,2025,1,7,15,39,34XX WELWYN ST,Kensington-Cedar Cottage,494958.8103,5455721.3988
Mischief,2025,1,3,13,7,35XX GRANDVIEW HWY,Renfrew-Collingwood,498072.7748,5456160.7021
Mischief,2025,1,19,12,55,36XX E 47TH AVE,Killarney,498110.0447,5452618.0708
Mischief,2025,1,22,12,0,36XX W 19TH AVE,Dunbar-Southlands,486473.1426,5455887.9162
Mischief,2025,1,4,16,0,37XX W 8TH AVE,West Point Grey,486452.339,5456964.322
Mischief,2025,1,17,11,32,39XX DUMFRIES ST,Kensington-Cedar Cottage,494667.913,5455145.1176
Mischief,2025,1,10,7,8,39XX SI LU DR,Musqueam,485936.6434,5452684.9644
Mischief,2025,1,10,23,53,3X SMITHE ST,Central Business District,491788.0426,5458016.558
Mischief,2025,1,23,6,18,3X W HASTINGS ST,Central Business District,492341.916,5458776.6446
Mischief,2025,1,9,14,3,3XX ABBOTT ST,Central Business District,492213.7305,5458862.1489
Mischief,2025,1,23,12,21,3XX ALEXANDER ST,Strathcona,492971.786,5459032.2703
Mischief,2025,1,8,11,47,3XX CARRALL ST,Central Business District,492418.704,5458794.1491
Mischief,2025,1,25,17,45,3XX DUNSMUIR ST,Central Business District,491796.3944,5458737.8055
Mischief,2025,1,22,11,40,3XX DUNSMUIR ST,Central Business District,491797.8691,5458736.3249
Mischief,2025,1,25,17,30,3XX E 2ND AVE,Mount Pleasant,492949.4721,5457145.3089
Mischief,2025,1,19,8,51,3XX E 6TH AVE,Mount Pleasant,492814.8722,5456966.9197
Mischief,2025,1,25,17,20,3XX HOMER ST,Central Business District,492003.3692,5459033.8354
Mischief,2025,1,4,12,1,3XX MAIN ST,Central Business District,492749.0819,5458833.1614
Mischief,2025,1,23,15,15,3XX MAIN ST,Strathcona,492758.3737,5458836.6377
Mischief,2025,1,17,12,0,3XX RICHARDS ST,Central Business District,491865.6863,5459036.5544
Mischief,2025,1,15,10,1,41XX MALI AVE,Musqueam,485446.4772,5452541.0161
Mischief,2025,1,20,0,0,41XX NANAIMO ST,Renfrew-Collingwood,495881.324,5454963.0925
Mischief,2025,1,8,19,0,44XX BELMONT AVE,West Point Grey,485030.8438,5457885.7775
Mischief,2025,1,22,11,6,44XX VICTORIA DR,Kensington-Cedar Cottage,495250.3668,5454666.8722
Mischief,2025,1,16,8,26,48XX DUMFRIES ST,Kensington-Cedar Cottage,494636.6726,5454200.9938
Mischief,2025,1,26,17,54,49XX QUEBEC ST,Riley Park,492525.5938,5454173.778
Mischief,2025,1,12,15,52,4XX CAMPBELL AVE,Strathcona,493837.079,5458696.9422
Mischief,2025,1,5,11,34,4XX CAMPBELL AVE,Strathcona,493837.1882,5458700.4892
Mischief,2025,1,2,14,0,4XX E 57TH AVE,Sunset,492893.2773,5451733.6143
Mischief,2025,1,7,0,0,4XX E 5TH AVE,Mount Pleasant,493123.9802,5457045.8318
Mischief,2025,1,14,10,42,4XX E HASTINGS ST,Strathcona,493068.3246,5458733.2572
Mischief,2025,1,20,15,15,4XX E HASTINGS ST,Strathcona,493068.3246,5458733.2572
Mischief,2025,1,28,0,25,4XX E HASTINGS ST,Strathcona,493068.3246,5458733.2572
Mischief,2025,1,21,15,1,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Mischief,2025,1,16,22,38,4XX GORE AVE,Strathcona,492916.0776,5458732.1754
Mischief,2025,1,6,15,15,4XX MAIN ST,Strathcona,492754.3113,5458731.9687
Mischief,2025,1,13,4,57,4XX RICHARDS ST,Central Business District,491863.486,5459034.3289
Mischief,2025,1,13,4,30,4XX SEYMOUR ST,Central Business District,491764.9597,5459086.1701
Mischief,2025,1,9,6,30,4XX W 13TH AVE,Mount Pleasant,491646.8559,5456308.079
Mischief,2025,1,24,16,51,4XX W GEORGIA ST,Central Business District,491609.7069,5458657.9937
Mischief,2025,1,18,9,18,4XX W HASTINGS ST,Central Business District,491920.8259,5458985.6563
Mischief,2025,1,16,17,0,4XX W HASTINGS ST,Central Business District,491926.2351,5458980.2408
Mischief,2025,1,14,3,40,50XX CHAMBERS ST,Renfrew-Collingwood,496136.9574,5453978.1445
Mischief,2025,1,21,23,40,53XX SHERBROOKE ST,Kensington-Cedar Cottage,494093.1971,5453727.3566
Mischief,2025,1,14,17,0,53XX SLOCAN ST,Renfrew-Collingwood,496056.1671,5453763.0955
Mischief,2025,1,8,9,12,54XX DUNDEE ST,Renfrew-Collingwood,496541.0753,5453643.9255
Mischief,2025,1,16,8,15,54XX DUNDEE ST,Renfrew-Collingwood,496541.0753,5453643.9255
Mischief,2025,1,11,3,55,54XX DUNDEE ST,Renfrew-Collingwood,496541.4752,5453625.5762
Mischief,2025,1,10,17,0,54XX HUDSON ST,Shaughnessy,490187.8103,5453804.9082
Mischief,2025,1,24,19,15,54XX MACKIE ST,Riley Park,492036.5347,5453692.7902
Mischief,2025,1,11,10,8,55XX CHESTER ST,Kensington-Cedar Cottage,493508.4784,5453551.3983
Mischief,2025,1,26,11,0,55XX DUNDEE ST,Renfrew-Collingwood,496542.9921,5453556.1803
Mischief,2025,1,6,19,0,56XX KILLARNEY ST,Renfrew-Collingwood,496662.589,5453469.4976
Mischief,2025,1,8,16,57,56XX KILLARNEY ST,Renfrew-Collingwood,496662.589,5453469.4976
Mischief,2025,1,19,2,0,56XX MAIN ST,Riley Park,492611.9024,5453443.0094
Mischief,2025,1,4,8,45,57XX MARGUERITE ST,Kerrisdale,489459.4263,5453509.0471
Mischief,2025,1,9,10,58,57XX WALES ST,Victoria-Fraserview,496245.0996,5453237.7361
Mischief,2025,1,7,10,38,58XX BERKELEY ST,Victoria-Fraserview,495790.0176,5453206.1718
Mischief,2025,1,5,14,0,58XX COMMERCIAL ST,Victoria-Fraserview,495000.4993,5453197.8958
Mischief,2025,1,21,20,45,58XX COMMERCIAL ST,Victoria-Fraserview,495000.4993,5453197.8958
Mischief,2025,1,19,8,39,58XX CREE ST,Sunset,492721.4039,5453252.0763
Mischief,2025,1,21,15,5,58XX ELM ST,Kerrisdale,488041.7069,5453437.4827
Mischief,2025,1,7,21,4,59XX ATHLONE ST,Oakridge,490057.9637,5453222.8196
Mischief,2025,1,28,15,28,5X E CORDOVA ST,Central Business District,492492.1042,5458853.6389
Mischief,2025,1,28,15,50,5X E CORDOVA ST,Central Business District,492492.1042,5458853.6389
Mischief,2025,1,4,16,0,5X W 3RD AVE,Mount Pleasant,492312.8887,5457294.6621
Mischief,2025,1,28,9,45,5X W CORDOVA ST,Central Business District,492321.0375,5458891.9487
Mischief,2025,1,12,12,40,5XX BUTE ST,Central Business District,491000.5333,5459487.7881
Mischief,2025,1,24,8,50,5XX E 30TH AVE,Riley Park,493272.9786,5454531.3183
Mischief,2025,1,23,18,4,5XX E 44TH AVE,Sunset,493242.1547,5453037.7923
Mischief,2025,1,20,13,5,5XX E 44TH AVE,Sunset,493244.5275,5453037.7391
Mischief,2025,1,26,16,0,5XX HAMILTON ST,Central Business District,491898.4879,5458798.762
Mischief,2025,1,3,4,30,5XX HAMILTON ST,Central Business District,491909.9642,5458810.3507
Mischief,2025,1,3,6,29,5XX HAMILTON ST,Central Business District,491909.9642,5458810.3507
Mischief,2025,1,24,18,0,5XX HORNBY ST,Central Business District,491449.6765,5459186.2905
Mischief,2025,1,4,1,42,5XX HOWE ST,Central Business District,491572.9791,5459167.2092
Mischief,2025,1,25,3,19,5XX MAIN ST,Central Business District,492743.2354,5458597.5916
Mischief,2025,1,8,0,0,5XX RICHARDS ST,Central Business District,491714.714,5458884.8419
Mischief,2025,1,7,9,46,5XX RICHARDS ST,Central Business District,491773.218,5458943.6416
Mischief,2025,1,19,18,30,5XX W 16TH AVE,Fairview,491617.7781,5456027.3614
Mischief,2025,1,8,22,35,5XX W 6TH AVE,Fairview,491548.4765,5457007.01
Mischief,2025,1,25,15,0,60XX BALACLAVA ST,Kerrisdale,487204.1721,5453250.2436
Mischief,2025,1,4,21,0,61XX ADERA ST,Kerrisdale,489560.7584,5453091.4681
Mischief,2025,1,3,22,3,64XX MAIN ST,Sunset,492609.2641,5452651.9772
Mischief,2025,1,8,1,0,68XX VICTORIA DR,Victoria-Fraserview,495210.3274,5452170.9716
Mischief,2025,1,24,15,7,6X W CORDOVA ST,Central Business District,492293.7194,5458890.667
Mischief,2025,1,24,9,39,6X W CORDOVA ST,Central Business District,492301.0188,5458898.0096
Mischief,2025,1,26,18,32,6XX ABBOTT ST,Central Business District,492166.4265,5458452.7208
Mischief,2025,1,7,16,57,6XX ALEXANDER ST,Strathcona,493469.7167,5459017.1399
Mischief,2025,1,16,10,0,6XX CAMBIE ST,Central Business District,491821.5648,5458582.6758
Mischief,2025,1,19,17,14,6XX CARRALL ST,Central Business District,492404.7108,5458492.0933
Mischief,2025,1,23,6,5,6XX DAVIE ST,Central Business District,490872.0479,5458229.9586
Mischief,2025,1,15,22,45,6XX E BROADWAY AVE,Mount Pleasant,493484.8585,5456634.8085
Mischief,2025,1,5,0,0,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2025,1,21,0,0,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Mischief,2025,1,16,10,14,6XX GRANVILLE ST,Central Business District,491535.0184,5458986.1559
Mischief,2025,1,12,12,39,6XX HELMCKEN ST,Central Business District,491002.0063,5458316.321
Mischief,2025,1,3,17,15,6XX PACIFIC ST,Central Business District,490608.5438,5458001.1591
Mischief,2025,1,7,9,33,6XX PIPELINE RD,Stanley Park,490126.1066,5460860.0917
Mischief,2025,1,3,9,14,6XX RICHARDS ST,Central Business District,491675.3442,5458845.2428
Mischief,2025,1,4,10,20,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2025,1,8,9,20,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2025,1,16,10,20,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2025,1,31,0,50,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2025,1,1,0,0,6XX W CORDOVA ST,Central Business District,491866.7009,5459186.4219
Mischief,2025,1,18,0,0,6XX W CORDOVA ST,Central Business District,491866.7009,5459186.4219
Mischief,2025,1,19,9,7,6XX W CORDOVA ST,Central Business District,491866.7009,5459186.4219
Mischief,2025,1,20,1,53,6XX W GEORGIA ST,Central Business District,491477.174,5458789.3651
Mischief,2025,1,8,4,18,72XX FRASER ST,Sunset,493383.6079,5451813.6296
Mischief,2025,1,10,13,48,72XX KNIGHT ST,Victoria-Fraserview,494393.1966,5451725.2432
Mischief,2025,1,5,13,0,74XX ANGUS DR,Marpole,489204.6571,5451762.6214
Mischief,2025,1,16,13,19,75XX BALACLAVA ST,Kerrisdale,487167.7813,5451588.1744
Mischief,2025,1,11,20,0,75XX ONTARIO ST,Marpole,492259.5957,5451544.4806
Mischief,2025,1,12,2,21,77XX MANITOBA ST,Marpole,492003.9285,5451344.7664
Mischief,2025,1,29,17,47,7XX BURRARD ST,West End,491089.0068,5458981.0764
Mischief,2025,1,6,19,31,7XX DAVIE ST,Central Business District,490777.6005,5458311.0872
Mischief,2025,1,5,21,0,7XX DUNSMUIR ST,Central Business District,491485.3891,5459049.9518
Mischief,2025,1,5,22,0,7XX DUNSMUIR ST,Central Business District,491485.3891,5459049.9518
Mischief,2025,1,16,16,27,7XX E 41ST AVE,Sunset,493586.201,5453334.6292
Mischief,2025,1,29,21,45,7XX E 52ND AVE,Sunset,493395.2668,5452213.8642
Mischief,2025,1,29,20,16,7XX HEATLEY AVE,Strathcona,493483.0057,5458402.6844
Mischief,2025,1,3,16,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Mischief,2025,1,3,18,0,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Mischief,2025,1,5,13,17,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Mischief,2025,1,5,13,36,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Mischief,2025,1,5,13,42,7XX HORNBY ST,Central Business District,491171.9882,5458918.1538
Mischief,2025,1,3,15,38,7XX JACKSON AVE,Strathcona,493188.684,5458331.0756
Mischief,2025,1,10,18,43,7XX JACKSON AVE,Strathcona,493191.0107,5458407.7557
Mischief,2025,1,18,1,29,7XX KINGSWAY AVE,Mount Pleasant,493470.0245,5455998.5406
Mischief,2025,1,8,14,15,7XX PACIFIC BLVD,Central Business District,491969.6723,5458156.549
Mischief,2025,1,4,23,30,7XX ROBSON ST,Central Business District,491215.7446,5458816.612
Mischief,2025,1,26,16,18,7XX THURLOW ST,West End,490967.2885,5459155.0621
Mischief,2025,1,1,13,30,7XX W 66TH AVE,Marpole,491173.9899,5450931.0158
